PlaceName,PlaceNameModern,Latitude,Longitude,NameOfTraveler,YearOfTravel,Description,Citation,Hyperlink,Country,Region,Continent
Kútassí,"near Novorossiysk, Russia",44.70357,37.86394,Evliya Çelebi,1643,"The houses of the Kútassí are covered with reed; a cluster of ten houses is called a Kabák, the four sides are circumvallated like a castle, and their dogs watch like lions around it, they are obliged to do so, as all their dwellings are in the woods, and each village is afraid of the other. The Kútassí are bounded by the Shána Circassians; they are only separated by a mountain, which is a day’s journey across; they speak the Circassian language.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 57.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Russia,West Asia,Asia
Anapa,"Anapa, Russia",44.89327,37.32311,Evliya Çelebi,1643,"We left the harbour of the Kútassí, and at the end of two days journey along the seacoast, reached the castle of Anapa. It is said that Alexander the Great, when commanded by God to build the wall of Gog and Magog, arrived at this place, he was so much pleased with its air and situation, that he built here a pentagon castle of immense stones (Shedádí, Cyclopean); the room of the diván was paved with rubies, emeralds, turquoises and cornelians, and for that reason was called the Castle Kevherpaí Anapaí. It afterwards fell into the hands of the Genoese, and when Timúr laid waste the towns of Dadián, Heshdek, and other towns amounting altogether to the number of seven hundred, in his expedition against Tokhatmish the Lord of Crimea, he also wasted the suburbs of the castle of Anapa, but the castle itself was spared. In the reign of Sultán Bayazíd II., the great Vezír Gedek Ahmed Páshá, leading the expedition against Kaffa, took this castle also from the Genoese, and put troops into it. It is situated at the extremity of the Cape which divides the territory of the Abáza from Circassia, on a clay cliff; it is a strong castle without a garrison, and has been several times ransacked by the Cossacks of the Tanais. Outside of the castle are one hundred and fifty houses built of reed; this village is called Kabák. North of the castle are the mountains of Anapa. The ships which go to Assov sail past these mountains, which extend as far as the Cossacks of Assov. The castle of Anapa is well built, and in such good preservation, that it appears as if it had just come out of the hands of the builder.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 58-59.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Russia,West Asia,Asia
River Mús,Mius River,47.32427,38.8267,Evliya Çelebi,1643,"We left this place and came to the river Mús, a large river which we passed over with the greatest difficulty at this cold season, the arms being all put in leather jacks. It is fresh water like that of the Don, Dnieper, and Danube, and contains excellent fish. It comes from the northern mountains of Russia. We crossed it, and next day when the Kettle-drums were beaten for departure, the snow had fallen three cubits deep.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 65.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Russia,West Asia,Asia
Convent of Kilghra Sultán,"Mys Kiik-Atlama, Russia",44.95181,35.37848,Evliya Çelebi,1643,"The Convent is situated on a cape which extends into the Black Sea like the proboscis of an Elephant. The ships that sail from Constantinople to Kara Khirmen, Kostenjí, and Kilí pass along these rocks of Kilghra directly opposite to those of Sinope, and if the weather is clear, are mutually seen from both shores... The windows of the Convent, and of the monument, all look towards the sea. The magnificent kitchen like that of Keikavús is worth seeing; day and night the fire is kept up on the stove for passengers and strangers, they have no endowments but live on alms; they are all purified by mystic divine love. To the right and left of the mountain are many wells in the rocks. The rocks being perpendicular like those of Mount Bisútún are excavated at the base. The projecting rocks are so lofty that ships with topmasts an hundred yards high may enter here, and come to an anchor. The masters of these ships take in barley and wheat which is brought in waggons to the mouths of the aforesaid shafts which are cut in the rock, and poured down them into the holds; these shafts were cut in ancient times by Infidel stonecutters, who were like so many Ferháds; and it is a peculiar sight not to be seen elsewhere, and saves a circuit of between three and four hours in bringing the barley to the foot of the rock. There are no such high and dreary rocks any where in the Black Sea. During southernly and easternly gales, the sea produces a roaring in the excavations, which is heard as far as Iflatár and Ilhánlar near Silistra, a day’s journey from hence. On the top of these rocks are nests of eagles each as large as a sheep, they are even killed and eaten by some for mutton.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 72-73.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Russia,West Asia,Asia
Gebíze,"Gebze, Turkey",40.79931,29.424,Evliya Çelebi,1645,"It lies an hour’s distance from the sea, at the top of a dry mountain; there are about one thousand houses with gardens, in the ancient style, three mosques, the largest of which covered with lead, outshines the mosques of the Vezírs at Constantinople; it was built by Mustafa Páshá, the builder of the bridge called by Sultán Súleimán, the bridge of the illiberal (Namerd), who when governor of Egypt had the finest stones cut in plates to adorn this mosque, and made a stone candelabrum of them, which has no equal in the world. The stones came direct from Egypt to the landing-place of Daríjí, where they were disembarked...Close to the mosque is a Caravánseraï, affording accommodation for three thousand men, and two thousand horses, with a stable appropriated for camels. In the dining-room (dar-ul-ita’ám), old and young men and women dine in plenty; and at the Caravánseraï, every evening, every fire-place is furnished with a dish of soup, a loaf of bread, a candle, and a bag of forage for every horse, ass, mule or camel. A bath is attached to it, covered with lead like all the other buildings of this foundation. Besides this Caravánseraï there are forty large and small kháns, and one hundred and eighty shops, all the work of Sinán; the mosque in the market is an old simple building; the houses are all faced with red bricks, the water of the wells is a little thick, but the air is good.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 90-91.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Lake of Sabánja,"Sapanca Lake, Turkey",40.7180505,30.249521,Evliya Çelebi,1645,"Its circumference is twenty miles, and seventy-six villages adorn its shores. The people who drink of its water are of ruddy complexion, and the products of the land are abundant; there are no vineyards, but a great number of gardens. On the borders of the lake there are melons and water-melons of such a size that two make an ass-load. On the lake are from seventy to eighty kaiks and boats, which are employed in the passage from village to village, and for the transport of wood. There are a great number of most delicious fish. Its depth is twenty fathoms, the water is clear and brilliant, and excellent for washing without soap. It is this water which gives a whiteness resembling cotton to the bread Súmúní. On the east side of the lake, at two hours distance, passes the river Sakaria, which disembogues into the Black Sea in the province of Koja Ilí at the place called Irva; it would require but little spirit of enterprise to unite the lake with the sea, by means of this river, a branch of which goes down to the salt-marshes of Nicomedia. As early as the reign of Mohammed III. a great number of workmen were employed in establishing a communication between the gulf of Nicomedia and the lake of Sabánja, but the undertaking was given up at the request of the inhabitants. If the Sakaria were united with this lake, and the lake with the gulf of Nicomedia, this town would be quite an inland port; the timber and wood might be brought down to Bolí, and it would cost no more than five aspers the quintal. God make it easy!
We marched to the eastward six hours, along the seashore, through thick forests, called “Ocean of trees,” and crossed the Sakaria by a wooden bridge; this river issues from the mountain Chifteler, passes through Koja Ilí, and goes into the Black Sea near Irva.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 91-92.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
The Station of Khandak-bazárí,"Düzce, Turkey",40.83751,31.15694,Evliya Çelebi,1645,"A small place belonging to the territory of Koja Ilí, with woods, mountains, gardens, a mosque, a khán, a bath, a market, a judge appointed with one hundred and fifty aspers, an officer of the janissaries, and a Súbashí. In the woody marsh here, is a long wooden bridge (causeway) famous all over Arabia and Persia. We marched twelve hours further on through thick forests, and came to Dúzje-bazár, the first place belonging to Bolí, in a mountainous region, with a mosque and two kháns founded by Shemsí Páshá, who also paved the road. In the neighbourhood are many villages.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 92.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Convent of Yúzghád Baba,"Gerede, Turkey",40.80023,32.19908,Evliya Çelebi,1645,"The convent of Yúzghád Baba near the hotbath. We marched twelve hours to the east, through cultivated villages to Kerde, the seat of a Súbashí subordinate to Bolí; a judge with one hundred and fifty aspers. The town consists of a thousand wooden and brick-built houses in a large valley, nine quarters, and eleven mosques, besides the Mesjíds; three convents, three kháns, two hundred shops, and seven coffee-houses. The knife-cutlers and tanners of Kerde are renowned for the knives and Safien of this place. The air is pleasant, and the inhabitants healthy; they are mostly students eager for information (Súkhte Thalebí).","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 93-94.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Bayander,"Bayindir, Turkey",40.87606,32.60377,Evliya Çelebi,1645,"From Kerde we travelled to the eastward for the space of eight hours, through cultivated villages, to the village of Bayander in the district of Bolí, a jurisdiction of one hundred and fifty aspers. The conquest of these villages situated amongst steep mountains cost much blood to Osmán. Here are three hundred covered houses, a khán where every passenger is allowed to stay, and receives wood, straw and water, gratis.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 94.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Kizil Irmák River,"Kızılırmak River, Turkey",41.08136,34.44665,Evliya Çelebi,1645,"Our road now led for eight hours, amongst the mountains along the border of the Kizil Irmák (Red river) when we arrived at the village of Háj Hamza, the companion and disciple of Habíb Karamání; this village was his birth-place: there remains only an ancient mosque on the great road, the other houses are in ruins. It is on the banks of the Kizil Irmák, the opposite shore of which is laid out in elegant gardens. The Kizil Irmák issues from the mountains of Churúm and enters the Black Sea near the village of Báfra, where it forms a cascade, the noise of which alarms men like the rolling of thunder; the river rushes on with great impetuosity, and is not navigable. Its colour is red both in winter and summer; it is a cruel water, for, in attempting to cross to the opposite shore on horseback I was upset with my horse in the middle of it, and saved with difficulty by getting hold of a willow.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 95.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Amasia,"Amasya, Turkey",40.65438,35.82495,Evliya Çelebi,1645,"Its towers, crowning the height of the mountains are always veiled with clouds, and it is only at noon that the spires of the mosques, and the roofs of the houses are visible. Its circumference is nine thousand and sixty paces. In form it is a pentagon, extremely strong, worthy of being a work of Ferhád, with forty-one towers, and eight hundred battlements altogether. The number of the houses is not known to me. There are magazines, cisterns, and a road cut in the rock, leading down to the water, called Chapán Yolí, of three thousand and seven steps. It has no market-place (Charshú), or market (Bazár). There are four iron gates looking to the east. In the castle is a mosque built by Sultán Ilderím, and a marvelously deep dungeon, resembling the pit of hell; and seventy cannons, but of no great calibre, as it is not a frontier fortress. This castle has six wonderful caverns, where the rich inhabitants hid their valuable effects in the time of the Anatolian rebellions of Kara Yazijí, and Kara Sáid.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 98.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Nigissar,"Niksar, Turkey",40.58924,36.95327,Evliya Çelebi,1645,"The next day we reached, in eight hours time, the seat of the Dánishmend family, the old town and stronghold of Nígíssár. Its builder was a Greek Emperor; it was conquered in the year 476 (1083) by Sultan Melek Ghází, of the Dánishmend family, and became the seat of this dynasty; their second residence was Amasia. The Seljúks, who anxiously wished to possess it, laid siege to it several times without success. Its name is a corruption of Níg-hissár, the good castle. It is an ancient, strong-built castle, on a limestone rock, five hundred and sixty paces in circumference, of an hexagon shape: the three gates face the east, west, and south; within the castle are three hundred houses and magazines, and a mosque, which was formerly a church.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 102-103.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Euphrates Source,"near Akyurt, Turkey",39.72969,40.25461,Evliya Çelebi,1645,"The great river Euphrates flows through the middle of the plain of Erzerúm. Its source is at the bottom of the pilgrimage of Dúmlibaba, on the east side of Georgia; it flows towards the west, causing in its way many marshes and canals, passes before the village of Kián, the castle of Kemáni, through the Yaila of a thousand lakes, inhabited by the Curds Izúlí, joins the Murád (the name of which it assumes), and passes like a sea in the neighbourhood of Malatia to Samosat, Kala’aí Rúm, Birejík, the bridge Búmbúja, Bálissa, Ja’aber, Rakie, Rahbie, Karkessia, Ania, Hita, Ebyár, Takúk, Helle, and Kúfa; it is joined at Kaverna by the Shatt-ul-arab (Tigris), and thus becomes an immensely large river, which is ascended by Indian ships from Bassra; the whole extent, with all its windings, is four hundred farsangs; it passes four hundred towns and villages. In the plain of Erzerúm its water is very sweet and palatable... The Euphrates freezes in the winter so that during two months many caravans cross it, but it never freezes south of Erzerúm; it is a sweet clear water, and a great comfort to the inhabitants of Erzerúm, though they have the spring, called the Source of Paradise, within their walls.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 110.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Fortress of Ezerúm,"Erzurum, Turkey",39.90301,41.27228,Evliya Çelebi,1645,"It consists of two castles of a square form, the distance between the two walls is seventy paces; the ditch is eighty paces broad, and twenty deep, but, on the side of the Gurjí and Erzenján gates, the ditch is not so deep: the whole circumference is eighty thousand paces, and it has three gates, that to the west is the gate of Erzenján, where the ditch is crossed by a bridge; the second to the east, and the third to the north, are likewise entered by crossing bridges. The first, which is the Georgian gate (Gúrji), is double, like that of Erzenján; but that of Tabríz, as it is close to the walls of the inner castle, is only a single one. The guns are all pointed towards the quarters of the town Dáragháj and Gumishlí Kunbed. Within the outer castle is an immense tower reaching to the skies, known by the name of Kessik Kulle, on the top of which is a high wooden Koshk; as it is one hundred cubits high, ten guns pointed from thence in all directions, intercept even the flight of birds. The height of the wall of the inner castle is seventy cubits; the other walls are but from forty to fifty cubits high; there are two hundred and ten strong towers, and two thousand and eighty battlements round the castle, and seventeen hundred houses, all covered with earth (terrasses) in the ancient style, so also are all the villages which I saw in the whole government of Erzerúm.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 111.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Arjesh,"Erciş, Turkey",39.02788,43.36267,Evliya Çelebi,1645,"Between the river Aras, the lake of Ván, and the castle of Arjesh, is a famous hot-bath, in the neighbourhood of the castle Zia-ud-dín. It is a curious fact that the springs rise in five or six different places; at some of them the water is as cold as ice, in others it boils like gruel. Here is a spring so cold that the hand cannot bear it, and close to it one in which eggs and sheep’s feet are cooked. Only one of these hot springs is covered with a cupola, the rest are exposed to the open air; every one is large enough to drive a mill.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 120.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Turkey,West Asia,Asia
Magú,"Maku, Iran",39.29641,44.51176,Evliya Çelebi,1645,"It is situated on a high and steep rock, the base of which is thin and narrow, and towers into the skies, being inaccessible on all sides. There is but one gate to which you ascend by a small staircase cut in the rock like a minareh. Seven hundred houses afford lodgings to two thousand musketeers of Mazenderán, commanded by a Sultán (Beg) subordinate to the Khán (Páshá, governor) of Eriván.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 122.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Nakhshiván,"Nakhchivan, Azerbaijan",39.20454,45.40275,Evliya Çelebi,1645,"After Sultán Murad’s conquest it consisted of twelve thousand houses with terraces, seventy mosques, forty mesjíds, twenty kháns, seven baths, and one thousand shops. The air is mild, but as it has few gardens, it has also but few fruits, one of its best products, is cotton of seven colours, black, yellow, ruby-coloured and of the purest white...They have some very fine mosques, every one of which may be compared to Eden, they are lined with painted pottery, and at some, the cupolas are covered in the same manner, there are thirty-three minarehs in the style of those of Constantinople; that of Ahmed Páshá exactly resembles that of Rostán Páshá at Constantinople. The bath of Jenání is very pleasant, the walls are faced with porcelain, and the floor is paved; the waiters are black-eyed youths from Khoten, whose crystal white bodies are set off by the dark blue of their aprons. Near the house where we lodged, as guests, is the bath of Zál Páshá, which is also a soul-delighting bath, owing to its fine water and excellent attendance; the walls are faced with porcelain, and the floor paved with jasper, marble, and granite of various hues.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 127-128.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Azerbaijan,West Asia,Asia
Tessúí,"Tasuj, Iran",38.31881,45.45141,Evliya Çelebi,1645,"After a march of nine hours towards the Kiblah, we arrived at the kent of Zeneves, one thousand well-built houses, ten mosques, a khán, and bath. Ten hours further on, towards the Kiblah, is the town of Tessúí; it is situated on the frontier of Merend and the bank of the Irs, and has three thousand houses with terraces, seven mosques, three baths, and six kháns. Its Sultán commands one thousand armed men; there is a Kelenter and Darogha, a Múnshí and Kádhí. It was also destroyed by Murad IV., and is now recovering from its ruins; it is twelve farsangs distant from the town of Merend; the fruits of Tessúí are celebrated.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 130.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Merend,"Marand, Iran",38.42986,45.77102,Evliya Çelebi,1645,"Merend lies to the east of Tabríz. It was formerly a hunting place of Sháhrokh, the son of Timúr, and was in a flourishing state, but Sultán Murad IV. laid it waste; there are now three thousand houses, seven mosques, three kháns, five baths and six hundred shops, but no Bezestán, no colleges nor abecedarian schools; but praise must be given to its seventy fine walks and gardens, each of which outrivals those of Eden.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 131.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Kent Sehlán,"Sahlan, Iran",38.17558,46.13619,Evliya Çelebi,1645,"We now marched six hours further to Kent Sehlán, which is the khass of the Khán of Tabríz, situated in a plain, consisting of one thousand houses, seven mosques, a khán, a bath and some small markets (Súk). Its streets are all planted with willows and planes. The inhabitants of Tabríz have their koshks and pleasure-houses in this kent; the inhabitants of the place pretend to be Sháfiítes, but are all cursed Ráfedites; the young people and the air of the place is praiseworthy.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 131-132.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Taríz,"Tabriz, Iran",38.0918,46.27406,Evliya Çelebi,1645,"In the Moghol language it is called Túris; in the Derí dialect, Táríz; in the Dihkání, Tábríz; and in the Farsí, Tabríz: in all these dialects, tab signifies fever, and ríz pouring [dispersing], because the air is so salubrious, and the water of Aján so good, that people who come from regions where fever prevails, completely recover here; the fortress of Cairo is also a place where no fever is to be found...The actual circumference of Tabríz, is six thousand paces, there are three hundred towers, three thousand battlements, and six gates, viz., that of Aján, of Berserván, of Serzúd, and of Shámnemázán, each of which is guarded by five hundred watchmen. The third builder of Tabríz was Húlagú, who resided here seven years, and embellished it wonderfully: Mohammed Khodabende Ibzárgún Sháh transferred the whole palace, built by Húlagú, on camels to his new built town. The timber used in the buildings was all cypress and aloe wood, and they have been faced with china ever since. The fourth builder was Mohammed Sháh Ghazán, who extended the boundaries to the mountains of Senján, Aján, and Sehlán, and surrounded it with a wall, which required four days to make a tour of it. The town formerly built by Motevekel became then the inner castle or citadel of the new town. In the year 959, it was taken by Sultán Suleimán, who did not ravage it, but made a present of it to Sháh Elkáss Mirza.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 133.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Meraghá,"Maragheh, Iran",37.38136,46.24944,Evliya Çelebi,1645,"It is the seat of a Sultán commanding a thousand troops, and has a Judge, Kelenter, Darogha and Múnshi; it was built in the earliest time by Húshenk-sháh, and is the first town of Azerbeiján and its ancient capital, surrounded with fruitful gardens, eleven farsangs distant from Tabríz; eleven mosques, forty kháns, sixty mesjíds, forty convents of Dervishes, eleven baths and three thousand shops... Its builder in the time of Islám was Merván Ibn Mohammed Al-Himár, in whose time it extended to Mount Sehend and comprised seventy thousand houses; but since it was destroyed by the Moghols in Húlagú’s time, the buildings are at some distance from Mount Sehend, which as it intercepted the145 north wind, was the reason that the air of its former situation was so heavy. The water, however, issues from the mountain, and abundantly furnishes the houses and gardens. Its pomegranates and cotton are famous, the inhabitants are white and gazelle-eyed, of sweet words and shining faces; a great part of them secretly follow the orthodox rite of Hánefí. They mostly speak Pehleví; the whole country is divided into eight districts, viz.: Serajún, Penajún, Jerút, Kaodúl, Hestrúd, Behsánd, Engúrán, and Kizilorán; each district containing from eighty to one hundred cultivated kents; altogether five hundred and sixty kents, sixty towns, and seven castles; the description of which, if we could undertake it in detail, would alone fill a volume.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 144-145.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Lake east of Tabríz,,38.18379,46.89061,Evliya Çelebi,1645,"The lake near Tabríz on the east side is covered with many hundred fishing-boats, on the west it is but a farsang’s distance from Rúmie; between Erdebíl and the lake the country is covered with wood, and villages are interspersed in the forest; there are seventy sorts of fish; the boats on the lake also trade to Rúmie, Dúmdúmí and Dúmbúlí; the circumference of this lake is greater than that of Wán, a man may go round it in ten days; the water of the lake of Wán is bitter as poison, but this is sweet as the water of life. Its depth is seventy cubits. This lake was produced on the birthnight of the prophet, when the vault of Chosroes, and that of Ayá Sófiyah, and the idols of Mecca fell down by an earthquake; forty-five large and small springs flow into it; the river Seilán which affords water to Erdebíl, the river Kuherán and others fall into this sea. On the banks of the river Seilán lies a large round mass of iron, three quintals in weight, extremely well polished, on which ancient philosophers have written a kind of Hebrew inscription with a figure lifting its two arms up to Heaven; if rain is wanted this stone is carried in procession into the town, and it never fails to rain day and night without ceasing till the stone is replaced. The basis on which this marvellous stone reposes is a large rock, covered with strange inscriptions; it also has twelve holes, from which as soon as the iron mass is rolled away, water begins to rush forth, and ceases not until the stone is returned to its place.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 146-147.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Erdebíl,"Ardabil, Iran",38.2476,48.29182,Evliya Çelebi,1645,"The distance between Tabríz and Erdebíl is twenty-five farsangs, which with a good horse may be gone over in two days. The climate much resembles that of Erzerúm; hard winter, and a fruitful soil, the corn multiplying eighty fold: there are no fruit-trees and vines, but gardens for vegetables and rosebeds.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 146.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Kent Safían,"Soufian, Iran",38.28153,45.9819,Evliya Çelebi,1645,"The next day the Kelenter took leave, and we continued our way to Kent Safián, which was formerly a great kent, but has since been ruined by the Mogols and still more by Sultán Murad IV., it is a delightful place on the territory of Tabríz. Some learned men and writers are buried here, but I don’t know their names; there are more than twenty cupolas. In the month of Moharrem on the day of A’ashúra, the feast in commemoration of the murder of Hossein is celebrated here with great pomp, the people are all Sháfiítes.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 148.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Iran,West Asia,Asia
Eriván,"Yerevan, Armenia",40.18413,44.51052,Evliya Çelebi,1645,"Eriván meanwhile remained in the hands of the Persians, who increased its flourishing state; it could not however resist an assault of the Ottoman army for seven days, because it is only surrounded by a simple wall. It is situated on the bank of the Zenghí, extending from the south to the north, having so little breadth, that the balls fired on it by Sultán Murad bounded from one extremity of the town to the other; many of these balls are even now seen fixed in the towers. The walls built by Ferhád Páshá are forty royal cubits high; those built by Tokmák Khán, fifty cubits high and twenty broad; it has no ditch on the side of the Zenghí, but it has a wall on the south, north and east sides, which however is not deep, being a marshy ground. It has three iron gates; to the south, the gate of Tabríz; to the north, the gate of the Meidán called Yaila Kapússí, on this spot they play Maïl; to the west, the gate of the bridge; there are seven hundred cannons large and small, which remained from the time of the Ottomans, and an immense number of other stores, because it is the frontier of Azerbeiján. It is garrisoned by three thousand men of the fortress, three thousand men of the Khán, and seven thousand men of the province. Sometimes its Khán enjoyed the title of Khán of Kháns. A judge, Nakíb, Kelenter, Darogha, Múnshí, Yessaúl-aghá, Kúrújí, Ishek Aghá, Dízchoken Aghá, seven Mihmandárs and Sháhbenders, keep public order. The town consists of one thousand and sixty elegant houses covered with earth, the best is the palace of the Khán much embellished by Emírgúneh. Near it is the mint where large and small silver coins (Abbássí and Bestí) are coined. The suburb outside of Yaila Kapússí is called the old town; at the head of the bridge is the Khán’s garden, and a suburb with mosque and bath. In the year 1045 (1635), when the Persians conquered this fortress, they also built a castle on the east side, with walls of clay and straw, which is even more solid than stone.","Evliya Çelebi, Narrative of Travels in Europe, Asia, and Africa, in the Seventeenth Century, trans. Joseph Hammer-Purgstall, vol. 2, 2 vols.,(London: Printed by William Nicol, 60, Pall Mall, 1850), 153-154.",https://www.gutenberg.org/cache/epub/54255/pg54255-images.html,Armenia,West Asia,Asia
